PIN,Address
20-20-500-006-0000,"ROW Elizabeth St. to Throop St., south of 63rd St."
20-20-500-005-0000,"ROW ROW Throop St. to Ada St., south of 63rd St."
20-20-500-004-0000,"ROW Ada St. to Loomis, south of 63rd"
20-20-500-003-0000,"ROW Ada St. to Loomis, south of 63rd"
20-20-500-002-0000,"ROW Ada St. to Loomis, south of 63rd"
20-20-500-001-0000,"ROW Ada St. to Loomis, south of 63rd"
20-20-207-028-8001,6322 South Halsted St.
20-20-206-042-0000,6315 S. Peoria St.
20-20-103-042-0000,6320 S. Loomis Blvd.
20-20-103-041-0000,Loomis St. south of 63rd St.
20-20-103-028-0000,Loomis St. south of 63rd St.
20-20-103-027-0000,Loomis St. south of 63rd St.
20-20-102-048-0000,
20-20-102-047-0000,
20-20-101-045-0000,
20-20-101-044-0000,
20-20-100-046-0000,CTA station & Park n Ride Lot
20-20-100-042-0000,CTA station & Park n Ride Lot
20-19-207-034-0000,Part
20-19-207-033-0000,
20-19-207-032-0000,
20-19-207-031-0000,
20-19-207-028-0000,
20-19-206-047-0000,
20-19-206-046-0000,
20-19-205-044-0000,
20-19-205-043-0000,
20-16-422-039-0000,258 W. 63rd St. at Princeton Ave.
20-16-422-014-0000,ROW Englewood Ave. to Pirnceton Ave. & 63rd St.
20-16-422-013-0000,ROW Englewood Ave. to Pirnceton Ave. & 63rd St.
20-16-422-002-0000,ROW Englewood Ave. to Pirnceton Ave. & 63rd St.
20-16-420-035-0000,ROW 62nd St. to Englewood Ave.
20-16-420-009-0000,ROW 62nd St. to Englewood Ave.
20-16-418-018-0000,ROW 61st Pl. to 62nd St.
20-16-418-008-0000,ROW 61st Pl. to 62nd St.
20-16-416-018-0000,ROW W. 61st. St. to 61st Pl.
20-16-416-004-0000,ROW W. 61st. St. to 61st Pl.
20-16-410-017-0000,ROW W. 60th Pl. to W. 61st St.
20-16-410-004-0000,ROW W. 60th Pl. to W. 61st St.
20-16-408-021-0000,ROW W. 60th St. to 60th Pl.
20-16-408-006-0000,ROW W. 60th St. to 60th Pl.
20-16-406-028-0000,ROW State St. to Lafayette Ave. south of 59th St.
20-16-406-010-0000,ROW State St. to Lafayette Ave. south of 59th St.
20-16-406-008-0000,ROW State St. to Lafayette Ave. south of 59th St.
20-16-406-006-0000,ROW State St. to Lafayette Ave. south of 59th St.
20-16-406-004-0000,ROW State St. to Lafayette Ave. south of 59th St.
20-16-406-002-0000,ROW State St. to Lafayette Ave. south of 59th St.
20-16-405-036-0000,"ROW Lafayette Ave. to C.R.I. & P. RR tracks, south of 59th St."
20-16-405-035-0000,"ROW Lafayette Ave. to C.R.I. & P. RR tracks, south of 59th St."
20-16-405-008-0000,"ROW C.R.I. & P.R.R. tracks to LaSalle, south of 59th St."
20-16-405-007-0000,"ROW C.R.I. & P.R.R. tracks to LaSalle, south of 59th St."
20-16-405-006-0000,"ROW C.R.I. & P.R.R. tracks to LaSalle, south of 59th St."
20-16-404-049-8001,ROW LaSalle to Wentworth Ave. South of 59th St.
20-16-404-023-0000,ROW LaSalle to Wentworth Ave. South of 59th St. 04-8001 crossed out on card.
20-16-403-029-0000,ROW W. 59th Pl. to W. 60th St.
20-16-403-008-0000,ROW W. 59th Pl. to W. 60th St.
20-16-401-039-0000,ROW Wentworth Ave. to W. 59th Pl.
20-16-401-038-0000,ROW Wentworth Ave. to W. 59th Pl.
20-16-401-031-0000,ROW Wentworth Ave. to W. 59th Pl.
20-16-401-029-0000,ROW Wentworth Ave. to W. 59th Pl.
20-16-401-027-0000,ROW Wentworth Ave. to W. 59th Pl.
20-16-401-025-0000,ROW Wentworth Ave. to W. 59th Pl.
20-16-401-023-0000,ROW Wentworth Ave. to W. 59th Pl.
20-16-401-022-0000,ROW Wentworth Ave. to W. 59th Pl.
20-16-401-021-0000,ROW Wentworth Ave. to W. 59th Pl.
20-15-500-033-0000,Between State & Wabash
20-15-500-031-0000,Garfield Blvd. to 56th St.
20-15-500-030-0000,ROW South of 59th St. on East side of Prairie Ave
20-15-500-027-0000,ROW South of 59th St. on East side of Prairie Ave
20-15-500-026-0000,ROW South of 59th St. on East side of Prairie Ave
20-15-500-025-0000,ROW South of 59th St. on East side of Prairie Ave
20-15-500-024-0000,ROW Prairie Ave. to Indiana South of 59th St.
20-15-500-022-0000,ROW Prairie Ave. to Indiana South of 59th St.
20-15-500-021-0000,"East side of Indiana Ave., south of 59th St."
20-15-500-020-0000,ROW Indiana Ave. to Michigan South of 59th St.
20-15-500-019-0000,ROW Indiana Ave. to Michigan South of 59th St.
20-15-500-018-0000,ROW Michigan Ave. to Wabash south of 59th St.
20-15-500-017-0000,ROW Michigan Ave. to Wabash south of 59th St.
20-15-500-016-0000,ROW Wabash to State South of 59th St.
20-15-500-014-0000,ROW 60th St. to 61st St.
20-15-500-013-0000,ROW 60th St. to 61st St.
20-15-500-012-0000,ROW 60th St. to 61st St.
20-15-500-011-0000,ROW 60th St. to 61st St.
20-15-500-010-0000,ROW 59th St. to 60th St.
20-15-500-009-0000,ROW 59th St. to 60th St.
20-15-500-008-0000,ROW 58th St. to 59th St.
20-15-500-007-0000,ROW 57th St. to 58th St.
20-15-500-006-0000,ROW 57th St. to 58th St.
20-15-500-005-0000,ROW 57th St. to 58th St.
20-15-500-004-0000,ROW 57th St. to 58th St.
20-15-500-003-0000,ROW 56th St. to 57th St.
20-15-500-002-0000,ROW 56th St. to 57th St.
20-15-316-030-0000,65th Street to 63rd St. W. of Calumet Yard & Shops
20-15-316-028-0000,66th Street to 63rd St. W. of Calumet Yard & Shops
20-15-316-025-0000,63rd Street to 63rd St. W. of Calumet Yard & Shops
20-15-316-024-0000,62nd Street to 63rd St. W. of Calumet Yard & Shops
20-15-316-023-0000,61st Street to 63rd St. W. of Calumet Yard & Shops
20-15-304-004-0000,5909 -11 S. Prairie Ave. (Green Line)
20-15-301-012-0000,West side of Michigan south of 59th St.
20-14-314-021-0000,862-872 E. 63rd St.
20-10-500-025-0000,ROW 50th St. to 51st St.
20-10-500-024-0000,319 E. 51st St.
20-10-500-023-0000,ROW 47th St. - south side of street
20-10-500-018-0000,ROW 54th St. to Garfield Blvd.
20-10-500-017-0000,ROW 54th St. to Garfield Blvd.
20-10-500-016-0000,ROW 53rd St. to 54th St.
20-10-500-015-0000,Bet. 51st St. and 53rd St.
20-10-500-014-0000,ROW 51st St. to 53rd St.
20-10-500-013-0000,Bet. 51st St. and 53rd St.
20-10-500-011-0000,ROW 50th St. to 51st St.
20-10-500-009-0000,ROW 50th St. to 51st St.
20-10-500-008-0000,ROW 49th St. to 50th St.
20-10-500-007-0000,ROW 49th St. to 50th St.
20-10-500-006-0000,ROW 48th St. to 49th St.
20-10-500-005-0000,ROW 48th St. to 49th St.
20-10-500-004-0000,ROW 48th St. to 49th St.
20-10-500-003-0000,ROW 48th St. to 49th St.
20-10-500-001-0000,ROW 47th St. to 48th St.
20-10-315-041-0000,5422 S. Calumet Ave.
20-10-315-039-0000,5416-18 S. Calument Ave.
20-10-315-038-0000,5449 S. Prairie Ave.
20-10-315-037-0000,300 East Garfield Blvd.
20-10-315-032-0000,5441-45 S. Prarie Ave.
20-10-315-029-0000,5441-45 S. Prarie Ave.
20-10-315-028-0000,5441-45 S. Prarie Ave.
20-10-315-027-0000,5441-45 S. Prarie Ave.
20-10-315-026-0000,5446-52 S. Calumet Ave.
20-10-315-025-0000,5440-42 S. Calumet Ave.
20-10-315-024-0000,5436-38 S. Calumet Ave.
20-10-315-023-0000,5432 S. Calumet Ave.
20-10-315-022-0000,Park n ride lot 5426-28 S. Calument Ave.
20-10-315-013-0000,5441-45 S. Prarie Ave.
20-10-315-008-0000,5433 S. Prairie Ave.
20-10-315-007-0000,Park n ride lot 5429 S. Praiarie Ave.
20-10-315-006-0000,5427 S. Prarie Ave.
20-10-315-005-0000,Park n ride lot 5423-25 S. Prairie Ave.
20-10-315-004-0000,Park n ride lot 5419 S. Prairie Ave.
20-10-305-063-0000,321 East 51st St.
20-10-104-038-0000,4712-14 S. Calumet Ave. (Green Line)
20-10-104-035-0000,4729 S. Prairie Ave.
20-09-219-030-0000,5008-14 S. Wells St.
20-09-219-029-0000,5008-14 S. Wells St.
20-09-219-028-0000,5008-14 S. Wells St.
20-09-219-027-0000,5008-14 S. Wells St.
20-04-202-027-0000,3938-44 S. Wentworth Ave.
20-04-202-026-0000,3938-44 S. Wentworth Ave.
20-04-202-025-0000,3938-44 S. Wentworth Ave.
20-04-202-024-0000,3938-44 S. Wentworth Ave.
20-03-500-032-0000,ROW 39th St. to 40th St.
20-03-500-031-0000,ROW 40th St. to 41st St.
20-03-500-027-0000,ROW 39th St. to 40th St.
20-03-500-022-0000,ROW 46th St. to 47th St.
20-03-500-021-0000,ROW 46th St. to 47th St.
20-03-500-020-0000,ROW 45th St. to 46th St.
20-03-500-019-0000,ROW 44th St. to 45th St.
20-03-500-018-0000,ROW 44th St. to 45th St.
20-03-500-017-0000,ROW 44th St. to 45th St.
20-03-500-016-0000,ROW 43rd St. to 44th St.
20-03-500-015-0000,ROW 43rd St. to 44th St.
20-03-500-013-0000,ROW 42nd St. to 43rd St.
20-03-500-012-0000,ROW 41st St. to 42nd St.
20-03-500-010-0000,ROW Indiana to Prairie south of 40th St.
20-03-500-009-0000,ROW Indiana to Prairie south of 40th St.
20-03-500-008-0000,ROW Michigan to Indiana south of 40th St.
20-03-500-007-0000,ROW Michigan to Indiana south of 40th St.
20-03-500-006-0000,ROW Wabash to Michigan south of 40th St.
20-03-500-005-0000,ROW Wabash to Michigan south of 40th St.
20-03-500-004-0000,ROW 40th St. and Wabash Ave/
20-03-500-002-0000,South side of 40th St. between State and Wabash
20-03-304-045-0000,43rd St. south side of street ROW
20-03-122-045-0000,North side of 43rd St.; 300-08 East 43rd St.
20-03-118-011-0000,4200-04 S. Wabash
19-23-203-041-0000,6314-24 S. Kedzie Ave. & W. 63rd Pl.
19-19-207-047-0000,63rd & Narragansett
19-11-201-051-0000,"3243 West 48th Pl., 60632"
19-09-412-013-0000,S. Cicero Ave. & S. Archer Ave.
19-07-324-051-0000,7114-26 W. Archer & 5453-65 S. Neva Ave.
17-34-500-038-8001,ROW 38th St. to 39th St.
17-34-500-037-0000,ROW 37th Pl. to 38th St.
17-34-500-036-0000,ROW 37th Pl. to 38th St.
17-34-500-035-0000,ROW 37th St. to 37th Pl.
17-34-500-034-0000,ROW 36th St. to 36th Pl.
17-34-500-033-0000,ROW 35th St. to 36th St.
17-34-500-029-0000,ROW 38th St. to 39th St.
17-34-500-025-0000,ROW 37th St. to 37th Pl.
17-34-500-024-0000,ROW 36th Pl to 37th St.
17-34-500-023-0000,ROW 36th Pl to 37th St.
17-34-500-022-0000,ROW 36th St. to 36th Pl.
17-34-500-020-0000,ROW 36th St. to 36th Pl.
17-34-500-019-0000,ROW 35th St. to 36th St.
17-34-500-017-0000,ROW 34th St. to 35th St.
17-34-500-016-0000,ROW 34th St. to 35th St.
17-34-500-014-0000,ROW 33rd St. to 34th St.
17-34-500-013-0000,ROW 33rd St. to 34th St.
17-34-500-012-0000,ROW 33rd St. to 34th St.
17-34-500-011-0000,ROW 33rd St. to 34th St.
17-34-500-010-0000,ROW 32nd St. to 33rd St.
17-34-500-009-0000,ROW 32nd St. to 33rd St.
17-34-500-008-0000,ROW 32nd St. to 33rd St.
17-34-500-007-0000,ROW 32nd St. to 33rd St.
17-34-500-006-0000,ROW 32nd St. to 33rd St.
17-34-500-005-0000,ROW 32nd St. to 33rd St.
17-34-500-004-0000,ROW 31st St. to 32nd St.
17-34-500-003-0000,ROW 31st St. to 32nd St.
17-34-500-002-0000,ROW 31st St. to 32nd St.
17-34-300-008-0000,3519-23 S. State St. (Green Line)
17-34-300-007-0000,3519-23 S. State St. (Green Line)
17-27-500-032-0000,ROW 28th St. to 29th St.
17-27-500-031-0000,ROW 30th St. to 31st St.
17-27-500-030-0000,ROW 30th St. to 31st St.
17-27-500-029-0000,ROW 29th St. to 30th St.
17-27-500-028-0000,ROW 29th St. to 30th St.
17-27-500-027-0000,ROW 29th St. to 30th St.
17-27-500-026-0000,ROW 29th St. to 30th St.
17-27-500-025-0000,ROW 29th St. to 30th St.
17-27-500-022-0000,ROW 28th St. to 29th St.
17-27-500-021-0000,ROW 28th St. to 29th St.
17-27-500-020-0000,ROW 26th St. to 28th St.
17-27-500-019-0000,ROW 26th St. to 28th St.
17-27-500-018-0000,ROW 26th St. to 28th St.
17-27-500-017-0000,ROW 25th St. to 26th St.
17-27-500-016-0000,ROW 25th St. to 26th St.
17-27-500-015-0000,ROW 25th St. to 26th St.
17-27-500-014-0000,ROW 25th St. to 26th St.
17-27-500-013-0000,ROW 24th St. to 25th St.
17-27-500-012-0000,ROW 24th St. to 25th St.
17-27-500-011-0000,ROW 24th St. to 25th St.
17-27-500-010-0000,ROW 24th St. to 25th St.
17-27-500-009-0000,ROW 24th St. to 25th St.
17-27-500-008-0000,ROW 23rd St. to 24th St.
17-27-500-007-0000,ROW 23rd St. to 24th St.
17-27-500-006-0000,ROW 23rd St. to 24th St.
17-27-500-004-0000,ROW 22nd St. to 23rd St.
17-27-500-003-0000,ROW 22nd St. to 23rd St.
17-27-500-002-0000,ROW 22nd St. to 23rd St.
17-27-500-001-0000,ROW 22nd St. to 23rd St.
17-22-500-043-0000,ROW  20th St. to 21st. St.
17-22-500-042-0000,ROW 14th St. to 16th St.
17-22-500-041-0000,ROW 14th St. to 16th St.
17-22-500-040-0000,ROW 14th St. to 16th St.
17-22-500-038-0000,ROW 14th St. to 16th St.
17-22-500-037-0000,ROW 14th St. to 16th St.
17-22-500-035-0000,ROW 21st St. to Cermak Rd.
17-22-500-034-0000,ROW 20th St. to 21st St.
17-22-500-033-0000,ROW 20th St. to 21st St.
17-22-500-032-0000,ROW 20th St. to 21st St.
17-22-500-031-0000,ROW 18th St. to 20th St.
17-22-500-030-0000,ROW 18th St. to 20th St.
17-22-500-029-0000,ROW 18th St. to 20th St.
17-22-500-028-0000,ROW 18th St. to 20th St.
17-22-500-027-0000,ROW 18th St. to 20th St.
17-22-500-026-0000,ROW 18th St. to 20th St.
17-22-500-025-0000,ROW 16th St. to 18th St.
17-22-500-024-0000,ROW 16th St. to 18th St.
17-22-500-023-0000,ROW 14th St. to 16th St.
17-22-500-022-0000,ROW 14th St. to 16th St.
17-22-500-021-0000,ROW 14th St. to 16th St.
17-22-500-020-0000,ROW 14th St. to 16th St.
17-22-500-016-0000,ROW 14th St. to 16th St.
17-22-500-015-0000,ROW 14th St. to 16th St.
17-22-500-014-0000,ROW 14th St. to 16th St.
17-22-500-013-0000,ROW 14th St. to 16th St.
17-22-500-012-0000,ROW 14th St. to 16th St.
17-22-500-011-0000,ROW 14th St. to 16th St.
17-22-500-010-0000,ROW 14th St. to 16th St.
17-22-500-009-0000,ROW 14th St. to 16th St.
17-22-500-008-0000,ROW 14th St. to 16th St.
17-22-500-007-0000,ROW 13th St. to 14th St.
17-22-500-006-0000,ROW 13th St. to 14th St.
17-22-500-005-0000,ROW 13th St. to 14th St.
17-22-500-004-0000,ROW 13th St. to 14th St.
17-22-500-003-0000,ROW Roosevelt Rd to 13th St.
17-22-317-027-0000,S.S.M.L. ROW only
17-22-300-073-0000,1706-12- S. Wabash Ave.
17-22-100-036-8001,Roosevelt/Wabash
17-22-100-005-0000,1235 S. State Street
17-19-502-048-8001,S. Damen Ave. to S. Hoyne Ave.
17-19-502-047-0000,North side of W. 18th Place
17-19-502-046-0000,1725 to 1747 W. Cullerton
17-19-502-044-0000,S. Oakley Ave. to Western Ave.
17-19-502-043-0000,S. Leavitt St. to Oakley Ave.
17-19-502-042-0000,S. Leavitt St. to Oakley Ave.
17-19-502-041-0000,S. Hoyne Ave. to Leavitt St.
17-19-502-040-0000,S. Damen Ave. to Hoyne
17-19-502-039-0000,S. Damen Ave. to Hoyne
17-19-502-038-0000,S. Damen Ave. to Hoyne
17-19-502-037-0000,S. Damen Ave. to Hoyne
17-19-502-036-0000,S. Damen Ave. to Hoyne
17-19-502-035-0000,S. Damen Ave. to Hoyne
17-19-502-033-0000,S. Wolcott to Damen
17-19-502-032-0000,S. Wolcott to Damen
17-19-502-031-0000,S. Wolcott to Damen
17-19-502-030-0000,S. Wood St. to Wolcott St.
17-19-502-029-0000,S. Wood St. to Wolcott St.
17-19-502-027-0000,19th St. to Cullerton
17-19-502-026-0000,19th St. to Cullerton
17-19-502-025-0000,18th Pl. to 19th St.
17-19-502-024-0000,18th Pl. to 19th St.
17-19-502-022-0000,West side of W. 18th St.
17-19-502-021-0000,17th St. to 18th St.
17-19-502-020-0000,17th St. to 18th St.
17-19-502-019-0000,West side of 17th St.
17-19-502-018-0000,16th St. to 17th St.
17-19-502-017-0000,16th St. to 17th St.
17-19-502-016-0000,15th Pl. to 16th St.
17-19-502-015-0000,15th Pl. to 16th St.
17-19-502-014-0000,15th St. to 15th Pl.
17-19-502-013-0000,14th Pl. to 15th St.
17-19-502-012-0000,14th Pl. to 15th St.
17-19-502-011-0000,14th St. to 14th Pl.
17-19-502-010-0000,14th St. to 14th Pl.
17-19-502-009-0000,Hastings to 14th St.
17-19-502-008-0000,Hastings to 14th St.
17-19-502-007-0000,13th St. to Hastings
17-19-502-006-0000,13th St. to Hastings
17-19-502-005-0000,13th St. to Hastings
17-19-502-004-0000,Washburne to 13th St.
17-19-502-003-0000,Washburne to 13th St.
17-19-502-002-0000,Roosevelt Rd. to Washburne
17-19-502-001-0000,Roosevelt Rd. to Washburne
17-19-406-019-0000,717 W. 17th St. Chgo.
17-19-317-024-0000,2001 W. Cullerton St.
17-19-317-023-0000,2003 W. Cullerton St.
17-19-314-004-0000,2011-15 S. Western Ave.
17-18-502-029-8001,Polk to Taylor
17-18-502-028-8001,Polk to Taylor
17-18-502-027-8001,Polk to Taylor
17-18-502-026-8001,Polk to Taylor
17-18-502-025-8001,Polk to Taylor
17-18-502-024-8001,Polk to Taylor
17-18-502-023-8001,Polk to Taylor
17-18-502-001-0000,Northwest corner of Congress & Paulina
17-18-501-013-0000,Madison St. to Washington Blvd.
17-18-501-011-0000,Bet. Jackson & Van Buren
17-18-501-010-0000,Bet. Ogden & Jackson
17-18-501-009-0000,Bet. Ogden & Jackson
17-18-501-005-0000,Bet. Monroe & Adams St.
17-18-501-004-0000,Bet. Monroe & Adams St.
17-18-501-003-0000,Bet. Arcade & Monroe St.
17-18-501-002-0000,Bet. Arcade & Monroe St.
17-18-500-046-0000,Damen Ave. to Hoyne Ave.
17-18-500-045-0000,Damen Ave. to Hoyne Ave.
17-18-500-044-0000,Bet. Marshfield & Ashland
17-18-500-043-0000,Bet. Marshfield & Ashland
17-18-500-042-0000,Bet. Marshfield & Ashland
17-18-500-041-0000,Bet. Marshfield & Ashland
17-18-500-040-0000,West side of Hoyne Ave.
17-18-500-039-0000,West side of Hoyne Ave.
17-18-500-038-0000,Hermitage Ave. to Paulina
17-18-500-037-0000,Hermitage Ave. to Paulina
17-18-500-036-0000,Hermitage Ave. to Paulina
17-18-500-035-0000,Wood St. to Hermitage Ave.
17-18-500-034-0000,Wood St. to Hermitage Ave.
17-18-500-033-0000,Wood St. to Hermitage Ave.
17-18-500-032-0000,Wood St. to Honore St.
17-18-500-031-0000,Wood St. to Honore St.
17-18-500-030-0000,Wood St. to Honore St.
17-18-500-029-0000,Ogden Ave. to Wolcott
17-18-500-028-0000,Ogden Ave. to Wolcott
17-18-500-027-0000,Wolcott Ave. to Winchester
17-18-500-026-0000,Wolcott Ave. to Winchester
17-18-500-025-0000,Wolcott Ave. to Winchester
17-18-500-024-0000,Wolcott Ave. to Winchester
17-18-500-023-0000,Winchester Ave. to Damen
17-18-500-022-0000,Winchester Ave. to Damen
17-18-500-021-0000,Winchester Ave. to Damen
17-18-500-020-0000,Winchester Ave. to Damen
17-18-500-019-0000,Damen Ave. to Hoyne Ave.
17-18-500-018-0000,Damen Ave. to Hoyne Ave.
17-18-500-015-0000,Hoyne Ave. to Leavitt St.
17-18-500-014-0000,Hoyne Ave. to Leavitt St.
17-18-500-013-0000,Hoyne Ave. to Leavitt St.
17-18-500-012-0000,Leavitt St. to Bell Ave.
17-18-500-011-0000,Leavitt St. to Bell Ave.
17-18-500-010-0000,Leavitt St. to Bell Ave.
17-18-500-009-0000,Leavitt St. to Bell Ave.
17-18-500-008-0000,Bell Ave. to Oakley Ave.
17-18-500-007-0000,Bell Ave. to Oakley Ave.
17-18-500-006-0000,Oakley Ave. to Claremont Ave.
17-18-500-005-0000,Oakley Ave. to Claremont Ave.
17-18-500-004-0000,Oakley Ave. to Claremont Ave.
17-18-500-003-0000,Oakley Ave. to Claremont Ave.
17-18-500-002-0000,Claremont Ave. to Western Ave.
17-18-500-001-0000,Claremont Ave. to Western Ave.
